questionnaire_item_id,feature,question_text_primary,caregiver_question,psychologist_question,feature_label_human,feature_description,term_explanation,section_name,subsection_name,questionnaire_section_suggested,questionnaire_subsection_suggested,layer,domain,domains_final,module,criterion_ref,instrument_or_source,feature_type,feature_role,dataset_class,questionnaire_class,visible_question_yes_no,generated_input_yes_no,show_in_questionnaire_yes_no,is_direct_input,is_transparent_derived,derivable_if_not_shown_yes_no,requires_internal_scoring,requires_exact_item_wording,requires_clinician_administration,requires_child_self_report,who_answers,respondent_expected,administered_by,response_type,scale_id,scale_name,response_options_json,min_value,max_value,unit,scale_guidance,include_caregiver_1_3,include_caregiver_2_3,include_caregiver_full,include_psychologist_1_3,include_psychologist_2_3,include_psychologist_full,modes_applicable,caregiver_rank,psychologist_rank,caregiver_priority_bucket,psychologist_priority_bucket,derived_from_features,internal_scoring_formula_summary,selection_rationale,help_text,notes,canonical_question_id,reuse_answer_from_question_id,question_audit_status
Q001,age_years,"¿Qué edad tiene el niño o la niña, en años cumplidos?","¿Qué edad tiene el niño o la niña, en años cumplidos?","¿Qué edad tiene el niño o la niña, en años cumplidos?",Edad en años cumplidos,Input for clean_base - Age years,,1. Información básica,Datos demográficos,1. Información básica,Datos demográficos,clean_base,adhd,adhd|conduct|elimination|anxiety|depression,clean_base,na,master_inference_ready_strict,basic_demographic,unspecified,model_input,safe_use,yes,no,yes,yes,no,no,no,no,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,integer,AGE_6_11,Edad en años,,6.0,11.0,años,"Ingrese la edad en años cumplidos, entre 6 y 11.",no,yes,yes,no,yes,yes,"caregiver_2_3, caregiver_full, psychologist_2_3, psychologist_full",64.0,64.0,media,media,,,feature retenida del clean-base auditado; respondible por ambos roles,Se usa solo como dato demográfico básico.,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract,,,audited_v16_4
Q002,sex_assigned_at_birth,¿Qué sexo se registró al nacer para el niño o la niña?,¿Qué sexo se registró al nacer para el niño o la niña?,¿Qué sexo se registró al nacer para el niño o la niña?,Sexo registrado al nacer,Input for clean_base - Sex assigned at birth,,1. Información básica,Datos demográficos,1. Información básica,Datos demográficos,clean_base,adhd,adhd|depression,clean_base,na,master_inference_ready_strict,basic_demographic,unspecified,model_input,safe_use,yes,no,yes,yes,no,no,no,no,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,SEX_ASSIGNED_AT_BIRTH,Sexo asignado al nacer,"[{""value"": ""male"", ""label"": ""Masculino""}, {""value"": ""female"", ""label"": ""Femenino""}, {""value"": ""unknown"", ""label"": ""No sabe / prefiere no responder""}]",,,,Seleccione la opción que corresponda o la opción de no sabe / no responde.,no,yes,yes,no,yes,yes,"caregiver_2_3, caregiver_full, psychologist_2_3, psychologist_full",66.0,66.0,media,media,,,feature retenida del clean-base auditado; respondible por ambos roles,Se usa solo como dato demográfico básico. Responda según el registro de nacimiento o el dato clínico disponible.,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract,,,audited_v16_4
Q003,adhd_context_home,"Pensando en dificultades frecuentes de atención, inquietud o impulsividad, ¿estas conductas se observan claramente en casa?","Pensando en dificultades frecuentes de atención, inquietud o impulsividad, ¿estas conductas se observan claramente en casa?","Pensando en dificultades frecuentes de atención, inquietud o impulsividad, ¿estas conductas se observan claramente en casa?",Adhd context home,Input for context - Adhd context home,,"2. Atención, actividad e impulsividad",Contexto de las conductas,"2. Atención, actividad e impulsividad",Contexto de las conductas,dsm5,adhd,adhd|conduct|depression,context,C,dsm5,context_flag,context_flag,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,YES_NO,Sí / No,"[{""value"": 0, ""label"": ""No""}, {""value"": 1, ""label"": ""Sí""}]",0.0,1.0,,Seleccione Sí o No.,no,yes,yes,no,yes,yes,"caregiver_2_3, caregiver_full, psychologist_2_3, psychologist_full",83.0,83.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,Marque Sí solo si se observa de forma repetida en la vida diaria y no por episodios aislados o excepcionales.,,,,audited_v16_4
Q004,adhd_context_other,"¿Estos síntomas también se observan en otros contextos, por ejemplo con familiares, amistades o actividades?","¿Estos síntomas también se observan en otros contextos, por ejemplo con familiares, amistades o actividades?",¿Estos síntomas se observan también en otros contextos?,Adhd context other,Input for context - Adhd context other,,"2. Atención, actividad e impulsividad",Contexto de las conductas,"2. Atención, actividad e impulsividad",Contexto de las conductas,dsm5,adhd,adhd|depression,context,C,dsm5,context_flag,context_flag,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,YES_NO,Sí / No,"[{""value"": 0, ""label"": ""No""}, {""value"": 1, ""label"": ""Sí""}]",0.0,1.0,,Seleccione Sí o No.,no,no,yes,no,no,yes,"caregiver_full, psychologist_full",132.0,150.0,baja,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,"Por ejemplo: con familiares, amistades, actividades deportivas, espacios sociales o salidas.",,,,audited_v16_4
Q005,adhd_context_school,¿Estos síntomas se observan en el colegio o en otras actividades de aprendizaje?,¿Estos síntomas se observan en el colegio o en otras actividades de aprendizaje?,¿Estos síntomas se observan en el colegio o en actividades académicas?,Adhd context school,Input for context - Adhd context school,,"2. Atención, actividad e impulsividad",Contexto de las conductas,"2. Atención, actividad e impulsividad",Contexto de las conductas,dsm5,adhd,adhd|depression,context,C,dsm5,context_flag,context_flag,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,YES_NO,Sí / No,"[{""value"": 0, ""label"": ""No""}, {""value"": 1, ""label"": ""Sí""}]",0.0,1.0,,Seleccione Sí o No.,no,yes,yes,no,yes,yes,"caregiver_2_3, caregiver_full, psychologist_2_3, psychologist_full",84.0,84.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,"Considere clase, tareas, actividades guiadas y momentos donde se espera atención o permanencia.",,,,audited_v16_4
Q006,adhd_hypimp_01_fidgets,"¿Con qué frecuencia mueve mucho las manos o los pies, o se mueve inquieto mientras está sentado?","¿Con qué frecuencia mueve mucho las manos o los pies, o se mueve inquieto mientras está sentado?","¿Con qué frecuencia mueve mucho las manos o los pies, o se mueve inquieto mientras está sentado?",Adhd hypimp 01 fidgets,Input for core_hyperimpulsive - Adhd hypimp 01 fidgets,,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.a,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",1.0,1.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Piense en inquietud motora repetida mientras debería permanecer relativamente quieto, por ejemplo en clase, comiendo o sentado en una actividad.",,,,audited_v16_4
Q007,adhd_hypimp_02_leaves_seat,¿Con qué frecuencia se levanta cuando debería permanecer sentado?,¿Con qué frecuencia se levanta cuando debería permanecer sentado?,¿Con qué frecuencia se levanta cuando debería permanecer sentado?,Adhd hypimp 02 leaves seat,Input for core_hyperimpulsive - Adhd hypimp 02 leaves seat,,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.b,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",2.0,2.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo en clase, comidas o actividades estructuradas.",,,,audited_v16_4
Q008,adhd_hypimp_03_runs_or_climbs_inappropriately,"¿Con qué frecuencia corre, trepa o se mueve excesivamente cuando no corresponde?","¿Con qué frecuencia corre, trepa o se mueve excesivamente cuando no corresponde?","¿Con qué frecuencia corre, trepa o se mueve excesivamente cuando no corresponde?",Adhd hypimp 03 runs or climbs inappropriately,Input for core_hyperimpulsive - Adhd hypimp 03 runs or climbs inappropriately,,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,dsm5,adhd,adhd|conduct|anxiety|depression,core_hyperimpulsive,A2.c,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",3.0,3.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,En mayores puede verse más como sensación intensa de inquietud.,,,,audited_v16_4
Q009,adhd_hypimp_04_cannot_play_quietly,¿Con qué frecuencia tiene dificultad para jugar o participar tranquilamente en actividades calmadas?,¿Con qué frecuencia tiene dificultad para jugar o participar tranquilamente en actividades calmadas?,¿Con qué frecuencia tiene dificultad para jugar o participar tranquilamente en actividades calmadas?,Adhd hypimp 04 cannot play quietly,Input for core_hyperimpulsive - Adhd hypimp 04 cannot play quietly,,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.d,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",4.0,4.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Observe si le cuesta bajar el nivel de activación.,,,,audited_v16_4
Q010,adhd_hypimp_05_driven_by_motor,¿Con qué frecuencia parece estar acelerado o no puede quedarse quieto?,¿Con qué frecuencia parece estar acelerado o no puede quedarse quieto?,¿Con qué frecuencia parece estar acelerado o no puede quedarse quieto?,Adhd hypimp 05 driven by motor,Input for core_hyperimpulsive - Adhd hypimp 05 driven by motor,,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,"2. Atención, actividad e impulsividad",Movimiento e impulsividad,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_hyperimpulsive,A2.e,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",5.0,5.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Piense en una sensación visible de estar “encendido”, moverse sin parar o tener mucha dificultad para quedarse quieto.",,,,audited_v16_4
